DateHeure	Group1	Lib	Valeur					
19/01/2018 08:20	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:20	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:22	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:22	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:24	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:24	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:26	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:26	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:28	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:28	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:30	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:30	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:32	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:32	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:34	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:34	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:36	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:36	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:38	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:38	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:40	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:40	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:42	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:42	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:44	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:44	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:46	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:46	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:48	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:48	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:50	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:50	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:52	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:52	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:54	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:54	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:56	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:56	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 08:58	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 08:58	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:00	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:00	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:02	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:02	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:04	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:04	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:06	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:06	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:08	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:08	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:10	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:10	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:12	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:12	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:14	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:14	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:16	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:16	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:18	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:18	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:20	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:20	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:22	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:22	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:24	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:24	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:26	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:26	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:28	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:28	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:30	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:30	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:32	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:32	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:34	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:34	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:36	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:36	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:38	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:38	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:40	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:40	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:42	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:42	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:44	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:44	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:46	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:46	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:48	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:48	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:50	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:50	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:52	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:52	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:54	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:54	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:56	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:56	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 09:58	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 09:58	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:00	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:00	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:02	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:02	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:04	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:04	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:06	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:06	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:08	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:08	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:10	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:10	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:12	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:12	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:14	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:14	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:16	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:16	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:18	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:18	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:20	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:20	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:22	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:22	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:24	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:24	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:26	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:26	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:28	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:28	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:30	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:30	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:32	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:32	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:34	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:34	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:36	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:36	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:38	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:38	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:40	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:40	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:42	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:42	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:44	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:44	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:46	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:46	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:48	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:48	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:50	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:50	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:52	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:52	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:54	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:54	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:56	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:56	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 10:58	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 10:58	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:00	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:00	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:02	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:02	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:04	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:04	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:06	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:06	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:08	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:08	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:10	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:10	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:12	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:12	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:14	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:14	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:16	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:16	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:18	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:18	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:20	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:20	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:22	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:22	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:24	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:24	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:26	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:26	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:28	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:28	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:30	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:30	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:32	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:32	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:34	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:34	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:36	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:36	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:38	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:38	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:40	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:40	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:42	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:42	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:44	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:44	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:46	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:46	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:48	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:48	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:50	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:50	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:52	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:52	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:54	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:54	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:56	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 11:56	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 11:58	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 11:58	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:00	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:00	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:02	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:02	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:04	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:04	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:06	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:06	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:08	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:08	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:10	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:10	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:12	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:12	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:14	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:14	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:16	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:16	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:18	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:18	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:20	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:20	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:22	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:22	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:24	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:24	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:26	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:26	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:28	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:28	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:30	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:30	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:32	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:32	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:34	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:34	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:36	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:36	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:38	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:38	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:40	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:40	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:42	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:42	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:44	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:44	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:46	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:46	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:48	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:48	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:50	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:50	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:52	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 12:52	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:54	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:54	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:56	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:56	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 12:58	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 12:58	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:00	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:00	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:02	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:02	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:04	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:04	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:06	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:06	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:08	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:08	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:10	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:10	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:12	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:12	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:14	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:14	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:16	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:16	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:18	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:18	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:20	Ambiance	CO2 Cours 107	320	320	21.5		21.5	320
19/01/2018 13:20	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:22	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 13:22	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:24	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
19/01/2018 13:24	Ambiance	Temp Cours 107	21.5	FAUX	FAUX		FAUX	FAUX
19/01/2018 13:26	Ambiance	CO2 Cours 107	340	340	21.5		21.5	340
